'main' bucket:
    1password-cli (2.32.0)
    7zip (25.01)
    7zip19.00-helper (19.00)
    ab (2.4.64)
    abc (1.0.0)
    ack (3.9.0)
    acmesharp (0.9.1.326)
    act (0.2.83)
    actionlint (1.7.9)
    adb (36.0.0)
    ag (2.2.5)
    agg (1.7.0)
    ahoy (2.5.0)
    aichat (0.30.0)
    air (1.63.4)
    aks-engine (0.79.0)
    alass (2.0.0)
    algernon (1.17.5)
    algol68g (3.9.5)
    alist (3.55.0)
    aliyun (3.2.2)
    aliyundrive-webdav (2.3.3)
    allure (2.36.0)
    amass (4.2.0)
    ammonite (3.0.6)
    amulet (1.21.11)
    android-clt (13114758)
    android-payload-dumper (1.3.0)
    ansicon (1.89)
    ant (1.10.15)
    apache (2.4.66)
    apimtemplate (1.1.1)
    apktool (2.12.1)
    apngasm (3.1.0)
    aqtinstall (3.3.0)
    aqua (2.56.0)
    arc (3.5.0)
    arduino-cli (1.4.0)
    argo (3.7.6)
    argocd (3.2.2)
    argocd-autopilot (0.4.20)
    aria2 (1.37.0-1)
    armclient (1.9)
    armor (0.4.14)
    arthas (4.1.3)
    ascii-image-converter (1.13.1)
    asciidoctorj (3.0.1)
    aspell (0.60.8.1-2)
    ast-grep (0.40.3)
    astyle (3.6.10)
    atac (0.22.1)
    atmos (1.202.1)
    atomicparsley (20240608.083822.1ed9031)
    austin (4.0.0)
    auto-doc (3.6.0)
    autocorrect (2.16.2)
    autoit (3.3.16.1)
    autossh (1.4g)
    avr-gcc (15.2.0)
    avrdude (8.1)
    avro-tools (1.12.0)
    aws (2.32.22)
    aws-amplify (14.2.3)
    aws-copilot (1.34.1)
    aws-ecs (1.21.0)
    aws-iam-authenticator (0.7.10)
    aws-nuke (3.62.2)
    aws-sam-cli (1.151.0)
    aws-vault (7.2.0)
    awsSts (0.9.1)
    awsqueue (0.0.8)
    azcopy (10.31.0)
    aztfexport (0.18.0)
    azure-cli (2.81.0)
    azure-developer-cli (1.22.5)
    azure-functions-core-tools (4.6.0)
    azure-kubelogin (0.2.13)
    azure-ps (15.1.0.40456)
    b2 (4.4.2)
    b2sum (20130305)
    b3sum (1.8.2)
    balena-cli (23.2.11)
    bandwhich (0.23.1)
    base64 (1.3.1)
    bat (0.26.1)
    bazel (8.5.0)
    bazel-buildtools (8.2.1)
    bazelisk (1.27.0)
    bbdown (1.6.3)
    bbk-cli (1.0)
    bc (1.07.1)
    beef (0.43.5)
    beehive (0.4.0)
    bento4 (1.6.0-641)
    bfg (1.15.0)
    bflat (8.0.2)
    biber (2.21)
    bicep (0.39.26)
    binaryen (125)
    bind (9.16.50)
    binutils (2.45)
    biodiff (1.2.1)
    biome (2.3.10)
    bison (2.4.1)
    bit (1.1.2)
    bitwarden-cli (2025.12.0)
    blat (3.2.24)
    blink1-tool (2.4.0)
    bochs (3.0)
    bom (0.7.1)
    bombardier (2.0.2)
    boost (1.90.0)
    boringproxy (0.10.0)
    bottom (0.11.4)
    boundary (0.21.0)
    boxes (2.3.1)
    brename (2.14.0)
    broot (1.54.0)
    brotli (1.2.0)
    bt2qbt (1.22)
    btop (1.0.5)
    btop-lhm (1.0.5)
    btyacc (3.0)
    buck (2021.01.12.01)
    buf (1.61.0)
    buffalo (0.18.14)
    bulk-rename-command (1.3.3.0)
    bun (1.3.5)
    busybox (5857-g3681e397f)
    busybox-lean (5857-g3681e397f)
    butler (15.24.0)
    butterflow (0.2.4a4)
    byacc (1.9-1)
    byenow (0.12)
    bzip2 (1.0.8.0)
    c3 (0.7.8)
    cacert (2025-12-02)
    caddy (2.10.2)
    cake (1.3.0)
    camel-k (2.9.0)
    camunda-operate (8.5.22)
    capnp (1.3.0)
    capstone (4.0.2)
    cargo-binstall (1.16.5)
    cargo-watch (8.5.3)
    carvel-vendir (0.45.0)
    castxml (0.6.5)
    cc65 (19909321171)
    ccache (4.12.2)
    ccat (1.1.0)
    ccl (1.13)
    cdialog (1.1-20100119)
    cdrtools (3.02a09)
    centrifugo (6.5.2)
    certigo (1.17.1)
    certstrap (1.3.0)
    cfr (0.152)
    cfsec (0.3.2)
    chafa (1.18.0)
    charm-gum (0.17.0)
    cheat (4.4.2)
    chezmoi (2.68.1)
    chisel (1.11.3)
    chkcpu (2.14)
    chroma (2.21.1)
    chromaprint (1.6.0)
    chromedriver (143.0.7499.169)
    chronograf (1.10.8)
    chroot (2.0)
    chsrc (0.2.3)
    cht (0.7.2)
    chuck (1.4.2.0)
    circleci-cli (0.1.34038)
    clangd (21.1.0)
    clink (1.9.6)
    clink-completions (0.6.7)
    clink-flex-prompt (0.18)
    clipboard (0.10.0)
    cloak (0.2.0)
    cloc (2.06)
    cloud-nuke (0.46.0)
    cloud-sql-proxy (2.20.0)
    cloudflared (2025.11.1)
    cmake (4.2.1)
    cmctl (2.4.0)
    cmder (1.3.25)
    cmder-full (1.3.25)
    cobalt (0.20.0)
    cockroachdb (25.4.2)
    codeowners-validator (0.7.4)
    codeql (2.23.8)
    coder (2.28.6)
    codex (0.77.0)
    colortool (1904.29002)
    composer (2.9.2)
    conan (2.24.0)
    concfg (0.2025.10.02)
    concourse-fly (7.14.3)
    config-file-validator (1.9.0)
    confluent-cli (4.24.0)
    conftest (0.66.0)
    connect (1.100)
    consul (1.22.2)
    containerd (2.2.1)
    coq (2025.01.0)
    coredns (1.13.2)
    coreutils (5.97.3)
    cormanlisp (3.1.2b)
    cosign (3.0.3)
    coursier (2.1.25-M22)
    cowsay (0.2013.07.19)
    cppcheck (2.19.0)
    cppcryptfsctl (1.4.4.5)
    cpufetch (1.07)
    crc (2.57.0)
    croc (10.3.1)
    crystal (1.18.2)
    cscope (15.8a)
    csview (1.3.4)
    csvlens (0.15.0)
    csvtosql (v0.1.1-alpha)
    ctags (5.8)
    ctop (0.7.7)
    cuda (13.1.0)
    cue (0.15.1)
    curl (8.17.0_6)
    curlie (1.8.2)
    cvs (1.11.22)
    cwrsync (6.4.6)
    cygwin (2.935)
    czkawka (10.0.0)
    d2 (0.7.1)
    dafny (4.11.0)
    dagger (0.19.8)
    danser-go (0.11.0)
    dapr-cli (1.16.5)
    dark (3.14.1)
    dart (3.10.7)
    dart-sass-embedded (1.62.1)
    datamash (1.3)
    datree (1.9.19)
    dbmate (2.28.0)
    dcmtk (3.7.0)
    dd (0.6beta3)
    ddev (1.24.10)
    ddosify (1.0.6)
    deepstream (10.0.0)
    delta (0.18.2)
    deno (2.6.3)
    deno-lint (0.82.0)
    dep (0.5.4)
    dependency-check (12.1.9)
    deta (1.3.3-beta)
    detekt (1.23.8)
    devd (0.9)
    devspace (6.3.18)
    dfu-util (0.11)
    dhall (1.42.2)
    diff-so-fancy (1.4.4)
    diffsitter (0.9.0)
    difftastic (0.67.0)
    diffutils (3.6)
    digdag (0.10.5.1)
    dioxus (0.6.3)
    direnv (2.37.1)
    dirhash (1.26.1)
    diun (4.30.0)
    dive (0.13.1)
    djvulibre (3.5.29-4.12)
    dmd (2.111.0)
    dmg2img (1.6.7)
    dnscrypt-proxy (2.1.15)
    dnslookup (1.11.2)
    dnsproxy (0.78.2)
    docfx (2.78.4)
    docker (29.1.3)
    docker-buildx (0.30.1)
    docker-compose (5.0.1)
    docker-machine (0.16.2)
    docker-pushrm (1.9.0)
    doctl (1.148.0)
    docto (1.16)
    dog (0.1.0)
    doggo (1.1.3)
    dokka (2.1.0)
    dolt (1.79.1)
    dos2unix (7.5.3)
    dosbox (0.74-3)
    dotcover-clt (2024.3.7)
    dotmemory-clt (2025.3.1)
    dotmemoryunit (3.2.20220510)
    dotnet-core-uninstall (1.7.656206)
    dotnet-script (2.0.0)
    dotnet-sdk (10.0.101)
    dotter (0.13.4)
    dottrace-api (2019.1.3)
    dottrace-clt (2025.3.1)
    doxygen (1.15.0)
    dprint (0.50.2)
    draft (0.17.13)
    drmemory (2.6.20434)
    drone (1.9.0)
    dua (2.32.2)
    duckdb (1.4.3)
    duf (0.9.1)
    dufs (0.45.0)
    dum (0.1.20)
    duplicacy (3.2.5)
    dust (1.2.3)
    dvc (3.60.1)
    dxc (1.8.2505.1)
    dyff (1.10.2)
    dynamorio (11.90.20437)
    eac3to (3.52)
